,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Guéret,FR,1586629022,46.17,1.87,72.0,30,9.17,31
1,Mahébourg,MU,1586628771,-20.41,57.7,78.01,73,13.87,75
2,Obo,CF,1586629023,5.4,26.49,74.25,71,2.68,77
3,Touros,BR,1586628740,-5.2,-35.46,87.8,66,13.87,20
4,Padang,ID,1586629023,-0.95,100.35,79.81,73,4.23,100
5,Najrān,SA,1586629023,17.49,44.13,86.0,23,11.41,40
6,Kemijärvi,FI,1586629023,66.71,27.43,24.8,95,6.26,52
7,Hualmay,PE,1586629023,-11.1,-77.61,78.01,65,10.22,51
8,Aklavik,CA,1586629023,68.22,-135.01,6.8,84,5.82,20
9,Sinjār,IQ,1586629023,36.32,41.88,60.19,52,0.65,76
10,Urengoy,RU,1586628437,65.97,78.37,35.94,98,20.27,100
11,Kyzyl-Suu,KG,1586629023,42.34,78.0,45.0,30,3.2,98
12,Palembang,ID,1586629023,-2.92,104.75,75.76,92,1.68,30
13,Port Blair,IN,1586629023,11.67,92.75,82.76,71,6.69,67
14,Noumea,NC,1586629023,-22.28,166.46,75.0,93,4.7,15
15,Davydovo,RU,1586629024,55.61,38.86,37.4,55,11.18,100
16,Shiyan,CN,1586629024,32.65,110.78,49.17,45,3.4,0
17,Cairns,AU,1586628954,-16.92,145.77,75.2,94,3.67,90
18,Roma,AU,1586629024,-26.58,148.78,62.35,37,11.39,8
19,Nemyriv,UA,1586629024,48.97,28.84,51.8,29,11.18,64
20,Kumano,JP,1586629024,34.34,132.59,48.99,81,12.75,90
21,Bad Driburg,DE,1586629024,51.73,9.02,63.0,29,5.82,83
22,Talnakh,RU,1586629024,69.49,88.4,32.0,97,35.79,75
23,Dolores,AR,1586629024,-36.31,-57.68,73.72,42,6.71,0
24,Tynda,RU,1586628443,55.17,124.72,31.01,80,2.08,55
25,Dakar,SN,1586629024,14.69,-17.44,87.8,74,9.17,0
26,Komsomol'skiy,RU,1586629024,43.98,46.7,49.93,66,5.93,29
27,La Rioja,AR,1586629024,-29.41,-66.85,77.05,36,6.13,15
28,Saint-Pierre,PM,1586629024,46.77,-56.17,39.2,91,28.86,40
29,Mozarlândia,BR,1586629024,-14.74,-50.57,83.48,64,1.95,55
30,Kortkeros,RU,1586629024,61.81,51.58,26.6,86,6.71,75
31,Anaconda,US,1586629024,46.13,-112.94,26.6,79,12.75,90
32,Myanaung,MM,1586629025,18.28,95.32,75.65,64,3.02,51
33,Kavaratti,IN,1586629025,10.57,72.64,85.01,68,4.03,1
34,Hyères,FR,1586629025,43.12,6.12,64.0,63,10.29,0
35,Provideniya,RU,1586629025,64.38,-173.3,27.14,97,3.29,99
36,Srandakan,ID,1586628810,-7.94,110.25,78.12,80,3.27,36
37,Pedernales,DO,1586628441,18.04,-71.74,91.4,52,20.8,75
38,Champerico,GT,1586629025,14.3,-91.92,93.2,56,6.93,20
39,Domoni,KM,1586629025,-12.26,44.53,83.73,72,6.55,38
40,Kushima,JP,1586629025,31.46,131.23,55.0,82,4.0,100
41,Camas,US,1586629025,45.59,-122.4,55.99,61,3.36,90
42,Jacareacanga,BR,1586629025,-6.22,-57.75,82.98,71,5.64,100
43,Souillac,MU,1586629025,-20.52,57.52,77.0,83,10.29,40
44,Tallahassee,US,1586628852,30.44,-84.28,75.0,26,4.7,40
45,Rio Grande,BR,1586628318,-32.03,-52.1,75.2,53,9.17,40
46,Darnah,LY,1586629025,32.77,22.64,60.93,67,16.42,0
47,Lompoc,US,1586629025,34.64,-120.46,68.0,72,8.05,40
48,Porto Empedocle,IT,1586629025,37.29,13.53,62.01,47,4.34,0
49,Sept-Îles,CA,1586628364,50.2,-66.38,41.0,38,17.22,75
